2026/03/26 21:33:28 Unhandled packet, packet id: 0x07
2026/03/26 21:33:28 Handshake: {Packet:{PacketId:2} Username:}
2026/03/26 21:33:58 CloseWindow: {Packet:{PacketId:101} WindowId:0}
2026/03/26 21:34:03 Unhandled packet, packet id: 0x07
2026/03/26 21:34:03 Unhandled packet, packet id: 0xEA
2026/03/26 21:34:03 Unhandled packet, packet id: 0x4E
2026/03/26 21:34:03 Unhandled packet, packet id: 0x72
2026/03/26 21:34:03 Unhandled packet, packet id: 0xB1
2026/03/26 21:34:03 Unhandled packet, packet id: 0x79
2026/03/26 21:34:03 Unhandled packet, packet id: 0x98
2026/03/26 21:34:03 Unhandled packet, packet id: 0xBB
2026/03/26 21:34:03 Unhandled packet, packet id: 0x40
2026/03/26 21:34:03 Unhandled packet, packet id: 0x50
2026/03/26 21:34:03 Unhandled packet, packet id: 0x40
2026/03/26 21:34:03 Unhandled packet, packet id: 0x50
2026/03/26 21:34:03 Unhandled packet, packet id: 0x67
2026/03/26 21:34:03 Unhandled packet, packet id: 0xAE
2026/03/26 21:34:03 Unhandled packet, packet id: 0x14
2026/03/26 21:34:03 Unhandled packet, packet id: 0x80
2026/03/26 21:34:03 Unhandled packet, packet id: 0x3F
2026/03/26 21:34:03 Unhandled packet, packet id: 0xDC
2026/03/26 21:34:03 Unhandled packet, packet id: 0xD8
2026/03/26 21:34:03 Unhandled packet, packet id: 0x9E
2026/03/26 21:34:03 Unhandled packet, packet id: 0x49
2026/03/26 21:34:03 Unhandled packet, packet id: 0x2C
2026/03/26 21:34:03 Unhandled packet, packet id: 0xEA
